Sample ID,Protein (g),Vitamin A (mg),Vitamin C (mg),Calcium (mg),Potassium (mg),Iron (mg),Fiber (g),Calories (kcal)
MOR-1302,5.48,0.15,157.4,228.66,197.54,1.05,2.91,57.0
MOR-7716,2.34,0.34,163.73,267.05,291.5,2.05,3.93,58.0
MOR-5936,2.67,0.43,240.63,265.61,258.31,2.91,5.29,58.0
MOR-6571,8.68,0.17,92.79,222.42,254.52,1.72,3.19,48.0
MOR-1523,2.97,0.15,61.63,387.78,278.19,1.92,4.33,52.0
MOR-7881,4.49,0.81,229.34,373.23,277.38,2.38,5.47,49.0
MOR-9930,3.16,0.76,99.94,321.46,353.16,1.45,2.85,32.0
MOR-7711,4.16,0.35,206.68,249.34,307.4,2.56,5.09,36.0
MOR-6454,5.7,0.64,84.46,349.15,165.67,1.91,7.14,30.0
MOR-1030,2.45,0.76,131.46,224.01,189.37,2.58,4.81,64.0
MOR-6489,3.54,0.52,98.08,303.69,296.34,2.23,6.23,52.0
MOR-1133,6.86,0.49,64.8,355.24,377.85,1.06,7.77,46.0
MOR-1305,6.52,0.56,148.12,244.21,187.41,1.13,3.84,50.0
MOR-8851,8.91,0.16,129.23,308.42,274.32,1.65,2.72,31.0
MOR-5739,4.1,0.53,81.66,331.48,226.39,1.65,7.51,35.0
MOR-7294,7.02,0.17,110.43,338.19,345.07,1.05,6.25,60.0
MOR-6651,7.76,0.18,128.61,326.91,215.98,1.71,4.17,36.0
MOR-2694,3.51,0.12,114.31,278.34,272.45,0.74,2.29,63.0
MOR-1852,3.87,0.79,70.58,256.73,256.16,1.54,7.96,31.0
MOR-1427,8.8,0.37,102.26,281.18,372.26,0.77,3.24,65.0
MOR-4012,4.97,0.25,198.18,392.49,349.22,2.27,5.27,52.0
MOR-7014,8.84,0.3,209.05,254.37,352.38,1.79,3.0,66.0
MOR-9800,8.52,0.23,182.07,305.5,305.83,1.08,2.46,53.0
MOR-2634,4.63,0.54,142.13,326.02,319.0,1.77,3.08,54.0
MOR-7480,4.53,0.3,90.74,205.76,183.17,2.97,7.5,59.0
MOR-5691,8.64,0.54,229.67,246.71,225.18,0.75,7.57,30.0
MOR-9023,8.34,0.17,225.72,365.92,251.1,1.16,6.01,45.0
MOR-8518,2.87,0.81,120.06,320.27,398.14,2.01,6.2,56.0
MOR-9511,2.75,0.79,149.51,271.13,386.5,2.36,4.18,62.0
MOR-2722,2.01,0.78,141.36,358.27,186.5,2.88,2.74,44.0
MOR-2289,3.97,0.23,185.11,323.56,265.43,2.36,4.98,65.0
MOR-6492,3.88,0.19,88.09,317.1,352.07,2.24,2.34,55.0
MOR-6814,3.75,0.23,181.73,225.38,213.49,2.96,3.21,61.0
MOR-9327,5.18,0.13,218.74,384.9,365.54,0.86,7.67,33.0
MOR-6520,7.46,0.64,89.86,213.14,385.96,1.09,2.05,37.0
MOR-1913,5.26,0.17,185.83,340.77,294.39,1.8,6.48,52.0
MOR-1486,4.29,0.18,190.19,308.0,384.5,2.34,4.23,48.0
MOR-2529,5.66,0.7,171.81,290.04,333.51,1.16,5.22,35.0
MOR-9776,3.02,0.41,202.69,321.98,383.06,2.13,5.0,70.0
MOR-6149,7.94,0.71,88.42,323.72,229.7,2.41,4.27,51.0
MOR-3245,8.33,0.45,99.98,342.86,203.91,2.5,4.64,46.0
MOR-8549,2.57,0.85,187.43,360.63,190.1,2.14,3.28,37.0
MOR-9724,4.46,0.46,117.57,273.81,328.32,0.84,4.39,42.0
MOR-9655,7.88,0.38,136.76,280.08,251.19,1.31,4.94,46.0
MOR-2993,7.01,0.24,217.7,338.71,191.28,1.65,6.32,43.0
MOR-1115,8.93,0.59,186.26,388.45,307.64,1.81,3.84,57.0
MOR-9772,6.73,0.54,163.14,217.7,326.43,1.54,2.48,67.0
MOR-4616,7.45,0.77,240.56,388.22,379.62,0.69,5.03,54.0
MOR-8498,6.46,0.54,232.56,239.99,294.76,0.75,6.91,38.0
MOR-4339,2.37,0.45,170.54,324.75,287.91,1.91,7.63,41.0
MOR-4744,7.64,0.2,56.94,283.02,367.52,2.05,3.78,61.0
MOR-7176,8.77,0.16,165.15,371.61,195.84,1.51,7.0,58.0
MOR-2160,8.57,0.72,197.33,292.84,383.95,1.52,2.64,67.0
MOR-2847,3.95,0.69,66.81,211.7,254.5,2.29,3.38,57.0
MOR-6918,5.58,0.66,191.73,299.55,176.76,1.82,7.5,58.0
MOR-4584,5.4,0.26,207.29,329.8,268.45,1.79,7.76,31.0
MOR-1471,7.93,0.43,204.54,335.72,170.55,1.06,6.19,37.0
MOR-4257,4.66,0.57,159.08,226.53,155.7,0.62,6.1,65.0
MOR-9115,8.4,0.28,227.88,380.84,254.24,2.52,2.55,48.0
MOR-4151,7.43,0.47,143.19,342.34,347.18,2.35,7.94,60.0
MOR-7816,4.28,0.63,193.65,260.5,160.65,0.73,2.33,40.0
MOR-8367,2.31,0.47,161.33,238.17,177.67,2.35,2.83,62.0
MOR-7122,8.47,0.55,157.43,365.76,293.36,1.86,4.72,70.0
MOR-2636,4.57,0.21,162.57,358.71,256.28,2.54,5.3,46.0
MOR-1681,4.82,0.34,173.26,317.59,399.79,2.64,3.68,47.0
MOR-1408,7.2,0.25,67.86,232.08,380.3,0.62,7.37,54.0
MOR-8623,8.88,0.31,66.11,301.17,195.49,0.81,2.19,47.0
MOR-9379,5.17,0.23,222.51,394.93,307.8,1.59,6.65,39.0
MOR-2598,8.12,0.33,110.17,236.81,286.76,2.45,4.55,37.0
MOR-1648,8.88,0.58,240.58,382.79,209.67,1.9,5.33,70.0
MOR-2744,7.47,0.3,94.43,220.56,215.55,1.27,5.09,31.0
MOR-7204,4.65,0.74,50.26,329.25,195.14,1.54,7.41,51.0
MOR-5399,7.8,0.68,182.86,325.97,304.46,1.16,7.84,58.0
MOR-5578,3.17,0.7,120.06,353.14,374.71,2.34,4.05,35.0
MOR-5398,4.35,0.41,240.26,203.79,165.91,1.79,7.87,50.0
MOR-4260,2.62,0.46,199.41,390.65,255.52,2.71,3.29,64.0
MOR-7308,5.41,0.52,80.97,363.31,265.2,0.58,2.44,33.0
MOR-7021,6.71,0.58,238.88,288.0,351.58,2.31,5.74,32.0
MOR-3282,6.04,0.11,184.28,220.31,278.37,2.68,8.0,57.0
MOR-1329,5.26,0.77,87.59,375.83,343.2,1.25,5.64,56.0
MOR-2064,4.29,0.46,95.88,399.37,247.3,1.77,3.94,31.0
MOR-6510,6.08,0.79,130.82,227.94,161.56,2.37,2.53,54.0
MOR-8032,4.45,0.15,89.69,234.54,392.6,2.44,6.73,62.0
MOR-9440,7.95,0.32,174.8,308.13,228.16,2.78,5.55,70.0
MOR-3730,5.93,0.83,122.45,200.11,187.02,1.35,7.77,36.0
MOR-7836,5.12,0.43,144.9,302.46,153.26,0.75,6.7,32.0
MOR-8620,3.72,0.3,160.73,243.85,269.13,2.98,2.47,52.0
MOR-3146,2.24,0.64,64.24,392.69,209.76,1.93,7.19,34.0
MOR-6690,5.01,0.62,241.17,322.15,346.25,1.46,7.88,59.0
MOR-4329,3.31,0.2,150.0,261.47,267.43,0.98,3.77,33.0
MOR-7169,8.71,0.84,162.99,338.53,343.62,2.86,5.78,35.0
MOR-8089,2.94,0.19,241.53,320.49,324.91,0.93,4.34,33.0
MOR-6455,6.26,0.12,62.35,279.11,363.54,2.91,5.88,52.0
MOR-4748,3.46,0.52,190.15,231.54,248.19,1.13,4.21,69.0
MOR-8851,2.14,0.55,135.99,372.83,368.94,1.68,4.63,61.0
MOR-4336,5.99,0.25,113.07,305.03,397.37,2.71,5.67,43.0
MOR-5461,5.18,0.51,163.92,219.85,183.05,2.76,6.58,34.0
MOR-4129,7.55,0.58,123.47,332.12,319.78,2.43,7.74,35.0
MOR-3830,4.57,0.23,116.74,362.84,162.11,1.03,2.22,56.0
MOR-7618,2.87,0.16,121.75,307.32,310.42,1.75,6.38,49.0
MOR-9152,4.39,0.34,116.67,384.28,347.55,0.68,6.96,69.0
MOR-2859,6.69,0.38,100.24,397.61,189.19,1.89,7.05,61.0
MOR-3497,2.3,0.77,89.07,325.01,190.18,2.57,7.78,55.0
MOR-6949,7.73,0.17,150.69,313.51,356.05,1.5,2.55,46.0
MOR-6154,3.87,0.67,83.3,290.09,382.91,2.43,5.93,31.0
MOR-6460,2.63,0.43,74.13,348.7,285.18,2.42,5.73,54.0
MOR-8792,8.2,0.5,191.42,270.66,268.81,1.06,5.62,61.0
MOR-3914,4.31,0.31,220.2,303.58,288.95,1.01,6.13,48.0
MOR-9284,3.85,0.66,154.63,214.45,312.05,1.26,3.68,42.0
MOR-6601,7.6,0.23,223.49,253.45,240.43,2.02,2.62,35.0
MOR-7428,7.32,0.61,116.38,346.49,329.6,2.5,3.04,30.0
MOR-3554,8.37,0.68,98.81,318.68,282.91,0.7,6.04,52.0
MOR-5812,7.46,0.17,183.02,230.95,183.76,1.74,2.25,50.0
MOR-2638,3.98,0.54,68.07,290.58,244.11,1.47,6.85,68.0
MOR-5958,7.21,0.58,217.37,201.43,286.35,2.71,5.49,35.0
MOR-9230,2.22,0.55,226.33,288.27,243.26,0.71,2.35,57.0
MOR-3207,7.15,0.88,107.36,293.24,257.89,1.93,5.28,39.0
MOR-4915,8.72,0.25,153.62,306.8,267.79,2.88,3.4,55.0
MOR-6385,6.99,0.36,61.88,379.44,277.74,2.64,7.66,40.0
MOR-9872,2.81,0.54,216.98,238.06,289.46,1.98,4.99,40.0
MOR-6726,5.6,0.75,156.32,320.17,231.75,2.91,2.8,52.0
MOR-4365,6.71,0.6,149.97,259.16,221.72,1.94,4.32,40.0
MOR-8884,2.36,0.16,56.47,319.31,171.29,2.89,4.83,69.0
MOR-3981,2.42,0.22,136.75,393.32,353.92,2.84,3.27,32.0
MOR-5974,5.11,0.59,96.03,284.39,152.62,2.45,5.84,51.0
MOR-5912,6.88,0.53,73.87,371.47,267.22,0.55,3.6,47.0
MOR-5814,5.41,0.85,192.6,200.92,269.56,0.62,6.57,31.0
MOR-9449,6.54,0.39,81.39,388.37,170.92,1.07,2.27,60.0
MOR-3667,2.63,0.85,184.14,282.88,305.75,1.53,3.78,64.0
MOR-4780,5.52,0.84,106.62,249.33,237.45,2.96,5.92,56.0
MOR-4231,3.32,0.31,105.4,358.11,288.75,1.07,5.48,37.0
MOR-3373,6.19,0.41,139.57,215.2,354.45,2.87,6.37,63.0
MOR-7096,7.95,0.78,186.37,247.3,177.14,1.42,6.03,57.0
MOR-6552,6.67,0.64,169.14,322.33,372.6,0.7,6.72,40.0
MOR-5398,2.63,0.1,95.82,238.66,361.52,1.21,2.52,70.0
MOR-2155,5.55,0.21,142.16,278.43,347.61,1.63,3.45,42.0
MOR-2015,6.73,0.7,224.13,247.43,180.82,1.01,5.78,56.0
MOR-1713,8.01,0.42,248.76,393.69,190.09,1.95,5.55,70.0
MOR-8678,6.54,0.87,106.52,374.92,209.7,0.83,7.16,62.0
MOR-8388,7.82,0.65,247.68,365.58,366.58,2.48,2.47,48.0
MOR-1701,8.33,0.57,171.59,395.8,190.07,1.87,6.75,31.0
MOR-9458,4.92,0.76,150.88,231.88,213.86,1.68,7.11,62.0
MOR-7146,8.67,0.65,180.45,332.33,152.32,1.46,4.73,69.0
MOR-9919,4.89,0.54,136.32,255.4,195.86,1.68,3.91,37.0
MOR-8105,4.0,0.32,68.91,353.7,240.46,1.99,6.37,48.0
MOR-5804,8.96,0.45,246.98,232.79,205.41,0.84,6.12,64.0
MOR-9455,5.66,0.86,249.02,264.29,193.27,2.72,7.86,52.0
MOR-5180,3.99,0.55,59.14,367.19,321.91,1.87,6.64,45.0
MOR-7049,7.21,0.29,189.14,213.46,196.83,1.82,2.82,69.0
MOR-6191,2.41,0.66,166.16,321.73,380.33,1.59,5.22,62.0
MOR-3763,7.02,0.84,129.68,356.54,185.09,2.84,2.06,48.0
MOR-2226,8.32,0.28,221.63,377.63,211.78,2.57,6.38,68.0
MOR-3904,3.12,0.81,62.2,322.6,384.93,1.3,5.19,32.0
MOR-8217,7.03,0.39,170.51,226.16,189.66,2.7,4.97,39.0
MOR-3124,5.38,0.7,56.26,291.69,210.22,2.62,2.94,58.0
MOR-5460,7.58,0.65,177.9,253.34,225.37,2.73,2.09,36.0
MOR-7054,5.22,0.49,82.55,335.46,196.21,0.99,4.59,67.0
MOR-5692,4.48,0.33,69.04,329.26,372.05,1.82,2.89,45.0
MOR-4684,8.17,0.28,184.86,287.83,288.61,2.33,5.07,70.0
MOR-9078,7.14,0.74,106.11,326.62,387.8,0.79,4.43,53.0
MOR-2266,8.49,0.76,85.39,324.01,268.62,2.29,2.18,44.0
MOR-3025,5.23,0.29,169.87,212.6,289.85,2.96,7.25,62.0
MOR-4502,7.1,0.13,108.92,244.8,281.49,0.69,3.83,38.0
MOR-1903,8.59,0.9,175.79,242.39,326.25,2.64,7.91,40.0
MOR-2893,2.13,0.17,206.84,334.06,217.3,2.86,3.03,36.0
MOR-2979,2.08,0.2,87.89,227.75,184.53,2.76,6.72,44.0
MOR-2983,4.75,0.75,204.53,256.54,337.18,1.97,6.09,36.0
MOR-2983,4.15,0.89,91.53,230.07,386.09,1.98,2.73,68.0
MOR-4651,4.99,0.48,113.27,257.11,331.42,1.07,7.46,49.0
MOR-8558,7.21,0.52,202.37,389.03,217.37,2.92,6.97,56.0
MOR-4358,8.26,0.89,102.8,217.05,330.19,2.47,6.75,67.0
MOR-8258,6.99,0.85,140.26,305.04,214.34,2.54,2.37,34.0
MOR-8322,5.37,0.21,221.24,347.74,306.07,0.98,5.67,51.0
MOR-9086,2.7,0.31,101.97,212.95,296.48,1.85,5.46,51.0
MOR-5044,3.27,0.75,146.86,362.13,341.02,2.36,7.62,55.0
MOR-6248,5.49,0.19,189.84,217.6,195.23,2.3,3.24,58.0
MOR-3634,2.52,0.16,151.32,366.92,196.66,2.48,2.39,53.0
MOR-1061,3.73,0.62,112.49,236.7,218.15,2.25,3.17,56.0
MOR-6445,2.24,0.49,230.83,311.85,391.05,2.18,7.15,34.0
MOR-2130,6.34,0.35,222.75,328.01,236.96,1.5,4.51,39.0
MOR-5473,7.68,0.49,169.87,295.08,276.29,1.45,4.2,57.0
MOR-1937,7.18,0.2,57.71,373.26,377.51,1.59,6.42,65.0
MOR-6482,8.55,0.87,77.71,294.36,269.09,1.39,3.42,66.0
MOR-9236,8.0,0.26,204.55,244.58,305.08,1.44,6.52,60.0
MOR-6470,8.31,0.58,248.92,333.61,352.35,1.0,7.95,41.0
MOR-4151,5.47,0.29,248.77,229.57,335.54,2.16,2.66,60.0
MOR-8102,2.05,0.68,101.37,225.56,358.23,2.0,2.07,62.0
MOR-1200,3.33,0.7,224.9,370.28,205.43,1.51,5.73,51.0
MOR-2846,3.22,0.4,156.55,203.9,387.73,0.68,5.25,34.0
MOR-6887,2.1,0.44,199.17,378.45,294.84,2.46,6.14,31.0
MOR-4529,2.76,0.41,122.06,252.22,279.34,0.59,4.99,68.0
MOR-5195,4.19,0.29,183.4,375.66,333.32,1.09,4.79,66.0
MOR-8018,5.6,0.87,104.23,217.64,387.19,1.17,6.59,58.0
MOR-9347,8.84,0.24,88.65,394.88,389.47,1.26,5.62,63.0
MOR-7690,2.37,0.11,205.22,394.61,334.59,0.72,2.01,61.0
MOR-3670,4.71,0.41,248.32,310.37,333.47,1.76,5.36,45.0
MOR-6845,7.53,0.42,137.08,250.36,340.2,2.71,7.37,38.0
MOR-6751,7.17,0.79,119.15,297.8,342.96,2.73,7.14,40.0
MOR-1886,7.13,0.36,123.24,368.05,200.48,1.34,7.15,32.0
MOR-1764,8.46,0.81,68.14,386.85,177.33,1.13,6.29,50.0
MOR-7333,6.1,0.76,165.51,229.78,260.88,2.87,7.57,56.0
MOR-2521,6.93,0.77,81.3,221.13,262.2,1.23,4.03,51.0
MOR-8879,6.7,0.4,72.4,270.68,385.87,2.83,6.13,44.0
MOR-4267,2.14,0.43,142.21,280.05,370.83,1.3,4.67,55.0
MOR-4107,8.62,0.44,209.09,351.96,219.16,2.8,3.16,68.0
MOR-3718,7.68,0.38,121.04,361.49,162.87,2.7,7.17,44.0
MOR-2356,7.6,0.65,120.55,283.89,179.64,2.8,3.05,63.0
MOR-9616,8.61,0.39,218.35,355.21,260.75,1.31,4.52,45.0
MOR-7463,3.15,0.6,185.92,372.06,258.32,1.36,7.71,40.0
MOR-7840,8.85,0.64,205.93,285.46,216.35,0.8,4.0,36.0
MOR-3602,3.72,0.24,185.16,280.76,223.57,2.03,5.01,64.0
MOR-5723,4.24,0.77,112.97,229.83,258.4,2.87,5.81,64.0
MOR-8202,7.51,0.32,177.21,205.58,271.19,1.43,7.39,37.0
MOR-8316,8.84,0.33,117.51,327.97,370.26,2.0,6.11,56.0
MOR-9291,7.07,0.76,92.14,302.62,292.5,0.98,4.19,67.0
MOR-4937,7.39,0.61,167.47,316.8,342.84,1.91,2.35,56.0
MOR-4421,3.75,0.75,62.11,303.29,154.02,2.34,7.7,57.0
MOR-4690,6.41,0.46,76.92,302.66,386.94,2.52,4.08,56.0
MOR-1746,4.34,0.11,57.25,397.33,275.36,1.33,4.88,33.0
MOR-2406,6.43,0.74,155.31,227.69,363.08,2.02,7.08,50.0
MOR-9894,4.39,0.49,234.15,274.8,312.69,1.25,6.56,67.0
MOR-1788,7.71,0.51,159.66,278.28,290.38,2.4,2.23,69.0
MOR-1871,4.62,0.63,197.36,216.41,186.6,2.28,6.75,45.0
MOR-9394,4.05,0.72,54.19,285.35,273.02,2.1,6.03,50.0
MOR-2867,4.08,0.16,118.91,349.76,246.01,1.6,2.83,36.0
MOR-9134,7.39,0.44,181.0,349.33,198.89,1.51,6.5,33.0
MOR-7579,7.68,0.79,67.35,322.88,334.26,1.47,5.16,66.0
MOR-8574,2.5,0.79,204.56,343.63,296.22,1.69,6.25,59.0
MOR-4316,4.07,0.13,232.16,235.69,374.22,1.93,6.8,46.0
MOR-5838,3.98,0.83,141.33,354.18,210.64,1.15,4.32,43.0
MOR-9585,3.86,0.67,84.88,239.12,206.09,0.75,5.06,50.0
MOR-5388,2.24,0.51,102.55,342.37,207.83,1.34,2.11,33.0
MOR-1055,8.52,0.33,96.15,296.46,226.17,2.74,2.03,42.0
MOR-9854,7.76,0.57,184.71,289.9,202.84,2.81,6.56,45.0
MOR-7902,3.39,0.37,249.03,254.73,321.51,2.04,2.77,65.0
MOR-1503,7.52,0.38,80.37,384.31,268.36,2.78,3.76,50.0
MOR-1679,8.77,0.79,199.69,277.75,347.73,0.67,4.34,36.0
MOR-2286,5.28,0.57,69.74,212.12,347.82,0.69,7.53,56.0
MOR-6255,6.64,0.7,222.31,352.88,249.09,2.03,6.77,57.0
MOR-1015,3.43,0.58,155.82,377.36,377.23,1.55,4.58,42.0
MOR-8152,6.7,0.9,224.83,350.95,172.73,1.16,5.89,34.0
MOR-7232,3.09,0.41,69.09,353.26,335.74,1.99,2.41,66.0
MOR-2862,6.3,0.59,229.74,322.93,222.91,1.75,5.0,62.0
MOR-6050,2.5,0.7,242.09,333.63,380.92,2.38,3.44,53.0
MOR-2192,5.08,0.34,223.69,295.97,290.02,1.92,4.08,36.0
MOR-5812,5.23,0.47,207.84,325.4,218.44,2.74,5.59,46.0
MOR-2378,2.65,0.67,211.64,290.76,235.06,1.34,4.78,34.0
MOR-5953,5.76,0.88,50.18,235.65,185.48,1.95,2.89,34.0
MOR-2292,4.42,0.16,169.1,213.32,390.23,0.92,6.2,51.0
MOR-8487,2.42,0.18,142.69,276.59,200.04,1.41,6.25,62.0
MOR-1065,7.02,0.25,244.88,257.86,187.49,0.74,2.79,43.0
MOR-4783,6.45,0.46,137.02,272.24,175.03,2.5,4.06,54.0
MOR-2691,5.73,0.72,178.01,277.44,387.25,2.05,2.57,65.0
MOR-7587,2.37,0.69,209.44,241.36,238.95,1.28,6.12,38.0
MOR-4706,5.26,0.17,182.78,393.8,265.67,1.68,2.46,66.0
MOR-3870,2.22,0.25,221.12,365.54,192.03,0.83,7.17,43.0
MOR-5008,4.9,0.13,223.11,210.55,337.85,1.98,2.73,33.0
MOR-6543,2.78,0.39,206.37,244.52,306.22,2.23,7.96,57.0
MOR-4417,3.16,0.55,103.88,316.27,172.23,0.66,3.32,39.0
MOR-8056,4.12,0.67,167.66,251.16,356.31,1.56,7.76,47.0
MOR-5745,4.35,0.5,103.56,288.26,243.05,0.79,7.09,51.0
MOR-7643,5.64,0.57,158.9,323.33,363.36,1.46,3.47,58.0
MOR-1927,2.07,0.52,136.78,248.9,163.07,2.01,3.67,58.0
MOR-8636,4.91,0.47,142.39,377.73,200.23,2.32,5.31,54.0
MOR-3242,6.87,0.35,117.82,350.68,288.61,2.87,3.64,51.0
MOR-3985,4.08,0.21,85.7,335.39,303.13,2.15,7.38,56.0
MOR-2272,8.71,0.44,131.86,267.33,185.05,2.07,4.33,61.0
MOR-8875,4.66,0.73,109.51,392.39,288.31,0.91,4.61,40.0
MOR-3463,7.6,0.37,82.94,251.73,389.78,2.71,3.19,30.0
MOR-1035,2.37,0.18,170.65,218.98,350.44,0.69,3.13,49.0
MOR-6854,3.16,0.59,73.19,300.02,164.36,0.85,2.83,32.0
MOR-1794,6.55,0.85,84.56,392.03,383.46,2.52,5.01,60.0
MOR-1352,6.03,0.3,108.99,384.43,163.84,2.76,5.29,37.0
MOR-5642,2.25,0.87,106.77,318.74,214.87,2.37,2.48,31.0
MOR-1358,5.79,0.69,73.6,310.65,178.27,2.14,3.38,52.0
MOR-3502,2.58,0.22,83.76,226.77,265.26,2.91,2.88,33.0
MOR-2375,2.3,0.25,51.83,337.44,391.4,0.65,7.82,40.0
MOR-5572,5.21,0.82,56.2,352.01,394.92,1.13,6.69,34.0
MOR-6770,7.77,0.33,199.76,350.38,386.36,0.92,5.16,55.0
MOR-4564,4.12,0.13,125.72,201.08,202.95,2.15,3.9,50.0
MOR-8505,3.82,0.4,199.36,286.42,300.03,2.09,2.51,41.0
MOR-2953,6.68,0.2,114.59,293.73,359.03,2.88,7.14,53.0
MOR-2115,4.84,0.41,122.75,313.91,381.85,1.48,6.41,56.0
MOR-5864,5.48,0.6,231.76,257.4,272.26,1.65,2.62,31.0
MOR-4439,5.81,0.41,147.4,258.41,174.43,0.6,5.82,32.0
MOR-8358,2.43,0.14,68.56,339.48,299.95,1.72,6.32,48.0
MOR-9937,7.26,0.87,133.8,271.56,268.29,1.84,5.04,56.0
MOR-5829,5.2,0.32,249.93,382.77,264.84,1.95,2.24,33.0
MOR-9974,7.02,0.69,207.88,315.79,165.26,2.0,2.86,49.0
MOR-4765,2.01,0.68,135.42,373.69,276.69,1.71,7.57,47.0
MOR-6542,4.73,0.76,221.78,249.43,189.03,1.4,2.23,48.0
MOR-9602,8.12,0.45,231.65,205.62,210.91,0.58,5.99,62.0
MOR-8834,2.89,0.26,194.93,316.13,163.95,1.53,5.53,53.0
MOR-7755,8.45,0.74,185.62,242.96,239.83,1.93,7.21,64.0
MOR-6180,3.34,0.66,152.58,236.99,250.96,2.34,3.93,60.0
MOR-2896,6.98,0.11,157.54,395.54,271.99,2.07,5.47,34.0
MOR-7957,3.18,0.36,81.62,259.06,380.41,0.63,2.84,69.0
MOR-1445,3.11,0.45,211.66,340.81,324.33,0.75,2.89,47.0
MOR-1234,5.35,0.56,224.02,397.09,208.09,0.63,3.36,34.0
MOR-3418,2.72,0.24,139.54,345.42,363.11,0.83,2.48,38.0
MOR-4580,4.02,0.24,56.1,290.24,166.41,0.97,7.06,53.0
MOR-3136,3.24,0.81,82.84,244.91,346.33,0.64,2.0,63.0
MOR-3823,6.42,0.56,221.67,252.28,181.22,2.92,5.32,64.0
MOR-5279,8.04,0.23,114.68,395.21,172.63,2.6,6.49,36.0
MOR-1253,4.98,0.81,107.27,224.24,326.35,1.71,3.21,34.0
MOR-9469,5.26,0.24,233.29,272.41,255.44,0.99,2.4,58.0
MOR-6874,5.0,0.87,96.27,270.5,263.76,2.36,5.52,35.0
MOR-2021,8.53,0.51,154.22,343.46,391.41,2.12,5.07,59.0
MOR-2382,7.21,0.16,214.02,322.73,169.14,1.85,4.01,67.0
MOR-1477,6.18,0.51,63.22,344.53,251.28,1.01,2.38,65.0
MOR-9501,3.78,0.26,179.54,280.86,307.98,2.23,7.11,41.0
MOR-7467,6.64,0.74,161.24,355.68,290.08,2.3,2.54,53.0
MOR-3080,2.25,0.22,105.37,272.02,194.49,1.84,3.01,43.0
MOR-2304,8.37,0.88,141.44,341.07,396.95,1.45,4.62,33.0
MOR-2709,4.91,0.59,216.22,326.76,244.08,0.59,5.57,48.0
MOR-6684,4.37,0.35,200.13,260.53,280.52,1.46,2.64,37.0
MOR-8809,4.44,0.86,243.41,350.87,232.79,1.62,4.54,49.0
MOR-4128,6.11,0.62,140.11,296.18,234.43,1.75,6.2,35.0
MOR-1106,6.08,0.51,236.0,279.92,279.6,1.02,2.06,54.0
MOR-1490,2.92,0.86,241.99,239.67,355.79,2.22,6.12,67.0
MOR-3503,5.02,0.85,108.43,344.44,166.53,2.66,5.64,60.0
MOR-1060,8.99,0.87,234.46,237.47,266.67,2.85,2.35,44.0
MOR-6071,5.03,0.76,99.36,389.5,218.85,2.06,2.72,54.0
MOR-4393,6.05,0.62,163.93,219.34,166.32,0.94,6.86,43.0
MOR-1610,6.82,0.51,204.47,373.53,366.67,1.64,6.77,49.0
MOR-5201,2.03,0.89,53.37,357.0,321.62,1.31,3.94,41.0
MOR-1289,3.06,0.23,77.4,338.12,169.07,2.13,3.93,64.0
MOR-2586,2.99,0.37,224.84,223.83,311.25,1.91,5.01,62.0
MOR-4820,5.73,0.16,114.26,203.58,171.46,2.26,7.5,45.0
MOR-5291,2.9,0.55,81.63,266.21,195.74,1.56,2.6,52.0
MOR-1543,7.93,0.31,72.4,205.87,196.71,1.84,6.37,67.0
MOR-1190,3.56,0.14,161.46,242.46,217.03,2.54,2.85,45.0
MOR-5591,7.64,0.11,228.87,301.29,385.38,2.57,2.74,47.0
MOR-9905,2.93,0.29,164.62,397.85,179.69,1.76,3.15,32.0
MOR-4358,4.57,0.53,230.16,331.89,384.39,1.14,4.65,58.0
MOR-1265,2.46,0.59,232.12,367.22,288.49,0.71,3.27,48.0
MOR-5283,5.72,0.89,99.56,291.29,372.11,1.68,3.54,50.0
MOR-8982,2.69,0.75,249.99,384.09,390.72,2.47,6.62,49.0
MOR-3306,6.42,0.26,132.36,299.09,303.58,0.98,7.54,38.0
MOR-8004,6.38,0.32,173.82,242.5,249.03,2.21,7.05,34.0
MOR-3036,2.81,0.76,136.78,236.85,377.14,1.51,7.87,34.0
MOR-2783,3.23,0.59,158.36,245.22,399.67,1.92,7.12,44.0
MOR-9577,5.93,0.81,235.91,344.08,370.13,2.37,2.69,70.0
MOR-6083,8.71,0.76,50.97,396.07,333.88,2.92,5.04,47.0
MOR-2479,2.54,0.75,193.88,253.04,335.3,2.4,7.8,49.0
MOR-9258,6.86,0.42,217.89,217.18,241.7,1.42,4.6,68.0
MOR-9855,6.73,0.75,196.28,284.2,249.81,2.74,4.11,55.0
MOR-1308,8.44,0.66,69.74,209.13,230.0,2.12,6.23,66.0
MOR-6476,8.35,0.8,92.39,341.64,350.36,2.76,5.29,53.0
MOR-3822,2.71,0.5,123.37,382.02,296.37,1.71,7.94,45.0
MOR-8100,5.86,0.79,176.08,357.89,348.33,2.15,6.26,41.0
MOR-1576,7.83,0.37,110.26,263.87,284.99,1.86,3.98,31.0
MOR-7632,4.01,0.62,93.63,303.55,304.99,0.88,4.34,34.0
MOR-7422,6.0,0.87,95.51,394.42,273.55,0.76,6.83,60.0
MOR-5534,4.18,0.5,151.04,203.06,324.88,2.45,5.5,38.0
MOR-3225,4.35,0.19,150.16,279.94,317.99,1.44,3.95,48.0
MOR-4408,4.27,0.45,129.52,314.59,276.69,1.3,5.24,48.0
